"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:25:59";"040";"273329414";"AUT";"АВСТРИЯ";"Австрийская Республика";"AT";"040";
"21.09.2016 15:26:00";"148";"273329415";"TCD";"ЧАД";"Республика Чад";"TD";"148";
"21.09.2016 15:26:01";"174";"273329416";"COM";"КОМОРЫ";"Союз Коморы";"KM";"174";
"21.09.2016 15:26:02";"266";"273329417";"GAB";"ГАБОН";"Габонская Республика";"GA";"266";
"21.09.2016 15:26:03";"275";"273329418";"PSE";"ПАЛЕСТИНА, ГОСУДАРСТВО";"Государство Палестина";"PS";"275";
"21.09.2016 15:26:55";"312";"273329419";"GLP";"ГВАДЕЛУПА";"";"GP";"312";
"21.09.2016 15:26:56";"340";"273329420";"HND";"ГОНДУРАС";"Республика Гондурас";"HN";"340";
"21.09.2016 15:26:57";"364";"273329421";"IRN";"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА";"Исламская Республика Иран";"IR";"364";
"21.09.2016 15:26:58";"372";"273329422";"IRL";"ИРЛАНДИЯ";"";"IE";"372";
"21.09.2016 15:26:59";"392";"273329423";"JPN";"ЯПОНИЯ";"";"JP";"392";
"21.09.2016 15:27:57";"404";"273329424";"KEN";"КЕНИЯ";"Республика Кения";"KE";"404";
"21.09.2016 15:27:58";"417";"273329425";"KGZ";"КИРГИЗИЯ";"Киргизская Республика";"KG";"417";
"21.09.2016 15:27:59";"470";"273329426";"MLT";"МАЛЬТА";"Республика Мальта";"MT";"470";
"21.09.2016 15:28:00";"508";"273329427";"MOZ";"МОЗАМБИК";"Республика Мозамбик";"МZ";"508";
"21.09.2016 15:28:01";"533";"273329428";"ABW";"АРУБА";"";"AW";"533";
"21.09.2016 15:29:04";"540";"273329429";"NCL";"НОВАЯ КАЛЕДОНИЯ";"";"NC";"540";
"21.09.2016 15:29:06";"703";"273329430";"SVK";"СЛОВАКИЯ";"Словацкая Республика";"SK";"703";
"21.09.2016 15:29:06";"748";"273329431";"SWZ";"СВАЗИЛЕНД";"Королевство Свазиленд";"SZ";"748";
"21.09.2016 15:29:07";"834";"273329432";"TZA";"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА";"Объединенная Республика Танзания";"TZ";"834";
"21.09.2016 15:29:08";"876";"273329433";"WLF";"УОЛЛИС И ФУТУНА";"";"WF";"876";
"21.09.2016 15:29:09";"702";"273330121";"SGP";"СИНГАПУР";"Республика Сингапур";"SG";"702";
"21.09.2016 15:29:09";"704";"273330122";"VNM";"ВЬЕТНАМ";"Социалистическая Республика Вьетнам";"VN";"704";
"21.09.2016 15:30:08";"705";"273330123";"SVN";"СЛОВЕНИЯ";"Республика Словения";"SI";"705";
"21.09.2016 15:30:11";"706";"273330124";"SOM";"СОМАЛИ";"Федеративная Республика Сомали";"SO";"706";
"21.09.2016 15:30:11";"710";"273330125";"ZAF";"ЮЖНАЯ АФРИКА";"Южно-Африканская Республика";"ZA";"710";
